epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2924.21,1.312,1.49809,1.2537,0.85483,0.83497,0.8612,0.5401,1.33119,1.12395,1.29073,0.00066559,0.00066559,0.00066559
2,6083.13,1.34414,0.92864,1.28886,0.90583,0.83783,0.91512,0.56374,1.39143,0.80281,1.3238,0.00124433,0.00124433,0.00124433
3,50370.7,1.31677,0.84847,1.27493,0.90466,0.88589,0.9314,0.56997,1.37811,0.79065,1.32276,0.00173507,0.00173507,0.00173507
4,76823.1,1.28546,0.78714,1.25612,0.93488,0.90885,0.9525,0.61627,1.2526,0.66268,1.24706,0.001604,0.001604,0.001604
5,79829.9,1.2599,0.73579,1.23601,0.94042,0.89523,0.9422,0.62133,1.2402,0.65628,1.22513,0.001472,0.001472,0.001472
6,82764.5,1.20377,0.62599,1.25811,0.95673,0.92559,0.96647,0.63265,1.23829,0.61078,1.23503,0.00134,0.00134,0.00134
7,85991.4,1.18639,0.58608,1.25129,0.95469,0.92468,0.96042,0.65172,1.20039,0.57745,1.20651,0.001208,0.001208,0.001208
8,88893.5,1.15766,0.55822,1.22327,0.96446,0.91626,0.97064,0.65577,1.20112,0.56725,1.20456,0.001076,0.001076,0.001076
9,91870.3,1.13374,0.53681,1.2097,0.97044,0.93045,0.97136,0.66731,1.1811,0.53083,1.18876,0.000944,0.000944,0.000944
10,94897.1,1.11637,0.51036,1.1954,0.9545,0.94733,0.9762,0.67078,1.17245,0.50277,1.17479,0.000812,0.000812,0.000812
11,97905.1,1.10591,0.49267,1.18773,0.96662,0.94936,0.97735,0.66628,1.17794,0.48988,1.17796,0.00068,0.00068,0.00068
12,162891,1.08367,0.47449,1.17452,0.96179,0.95177,0.97424,0.67554,1.15634,0.4803,1.16489,0.000548,0.000548,0.000548
13,165764,1.07057,0.45168,1.16327,0.97513,0.95291,0.98049,0.68255,1.14533,0.45235,1.15745,0.000416,0.000416,0.000416
14,168788,1.05025,0.43982,1.15659,0.97614,0.94868,0.97866,0.68095,1.14657,0.44638,1.15757,0.000284,0.000284,0.000284
15,171785,1.03277,0.41911,1.13838,0.97306,0.95206,0.97775,0.68851,1.1348,0.43823,1.15037,0.000152,0.000152,0.000152
